name,price,storage,color,condition
New ListingApple iPhone 11 Pro 64GB. Space Gray. Parts Only,70.0,64GB,Gray,New
IPhone 13 Pro Max 1TB,520.0,1TB,,
iPhone 13 Pro Max,320.0,,,
Apple iPhone 14 Pro - 128GB - Space Gray (AT&T)  Very Good  Condition,374.95,128GB,Gray,
Unlocked Apple iPhone 7 32GB BLACK MNAC2LL/A,48.99,32GB,BLACK,
"New ListingApple iPhone 12 64GB Blue Unlocked A14 Bionic 6.1"" Smartphone",159.99,64GB,Blue,New
Apple iPhone 11 PRO 256GB UNLOCKED Midnight Green Used Excellent,230.0,256GB,,Used
Apple iPhone 16  128GB factory Unlocked pink,628.0,128GB,,
"iPhone 12, 128GB, Unlocked, Black, MGF93LL/A, Updated to iOS 18",244.95,128GB,Black,
APPLE IPHONE 6S 16GB UNLOCKED MKQJ2VC/A - SPACE GRAY - DEFECTIVE SCREEN/LCD,38.28,16GB,GRAY,
APPLE IPHONE 6S 16GB UNLOCKED MKQJ2VC/A - SPACE GRAY - CRACKED SCREEN/LCD,38.28,16GB,GRAY,
Broken Unlocked Apple iPhone 15 Pro Max eSIM 256GB 18.0.1 MU673LL/A,599.99,256GB,,
Apple iPhone SE 2nd Black 64GB A2275 MX9K2LL/A Unlocked Clean ESN Excellent,89.0,64GB,Black,
New ListingOpen Box Apple iPhone 16 Pro Max 256GB Black Unlocked (100% Battery) 2806,1039.0,256GB,Black,New
New ListingApple iPhone 12 Pro - 128 GB - Graphite (Unlocked) Cracked Back 80% Battery 1555,189.99,128 GB,,New
iPhone 14 Pro Max 128GB Space Black Locked US Reseller Flex Policy only,388.0,128GB,Black,
Fair - Apple iPhone 11 128GB - Purple (AT&T ONLY - CAN'T UNLOCK) READ NOTES,119.99,128GB,,
Poor - Apple iPhone XS 64GB - Space Gray (AT&T ONLY - CAN'T UNLOCK) Free Ship,79.99,64GB,Gray,
Apple iPhone 11 Pro - 64 GB - Space Gray verizon cracked front/back good oled,115.0,64 GB,Gray,
Apple iPhone 13 128GB 5G Green (AT&T Cricket H2O) Smartphone NEW OTHER SEALED,369.88,128GB,,NEW
Apple iPhone 14 - 128 GB - Midnight Blue (READ) - ¿53283-1,199.95,128 GB,Blue,
Apple iPhone 16 PLUS - 128 GB - Black (UNLOCKED) Smartphone,799.0,128 GB,Black,
"New ListingApple iPhone 15 Pro 256GB Blue Titanium, Unlocked, Dual SIM",599.0,256GB,Blue,New
iPhone 12 Pro Max 128GB Pacific Blue cracked screen works great 4 Art cases,249.15,128GB,Blue,
Apple iPhone 12-64GB AT&T/ Cricket Only,169.0,64GB,,
iPhone 16 Pro - 1 TB - Excellent - 100% Battery Health - Open Box - Black,1219.95,1 TB,Black,
New ListingApple iPhone 15 Pro A2848 128GB Natural! Unlocked! 99% battery health!,689.9,128GB,,New
Lot of 2 Apple iPhone XR A1984 64GB Black Unlocked CDMA + GSM Clean IMEI: Fair,239.0,64GB,Black,
"Apple iPhone XR A1984 64GB Black 6.1"" Unlocked Clean IMEI: Fair",119.0,64GB,Black,
Apple iPhone XR A1984 64GB Black CDMA + SM Unlocked Clean IMEI: Fair,119.0,64GB,Black,
